ed,kind,sources,ucp,ndp,winner,note
Edmonton-Highlands-Norwood,direct,Edmonton-Highlands-Norwood,22.0,74.0,NDP,
Edmonton-Manning,direct,Edmonton-Manning,31.0,62.0,NDP,
Edmonton-McClung,direct,Edmonton-McClung,33.0,54.0,NDP,
Edmonton-Meadows,direct,Edmonton-Meadows,30.0,63.0,NDP,
Edmonton-Mill Woods,direct,Edmonton-Mill Woods,34.0,60.0,NDP,
Edmonton-North West,direct,Edmonton-North West,29.0,64.0,NDP,
Edmonton-Rutherford,direct,Edmonton-Rutherford,32.0,66.0,NDP,
Edmonton-South,direct,Edmonton-South,37.0,57.0,NDP,
Edmonton-Strathcona,direct,Edmonton-Strathcona,16.0,78.0,NDP,
Edmonton-West Henday,direct,Edmonton-West Henday,37.0,55.0,NDP,
Edmonton-Whitemud,direct,Edmonton-Whitemud,38.0,61.0,NDP,
Edmonton-Windermere,direct,Edmonton-South West,46.0,52.0,NDP,
Edmonton-Glenora-Riverview,merge,Edmonton-Glenora|Edmonton-Riverview,25.431,70.431,NDP,
Edmonton-Beaumont,blend,Edmonton-South,43.1,49.931,NDP,
Edmonton-Enoch,blend,Edmonton-West Henday,43.1,48.531,NDP,
Barrhead-Westlock-Athabasca,direct,Athabasca-Barrhead-Westlock,61.0,27.0,UCP,
Camrose,direct,Camrose,60.0,25.0,UCP,
Canmore-Banff,direct,Banff-Kananaskis,44.0,51.0,NDP,
Central Peace-Notley,direct,Central Peace-Notley,64.0,27.0,UCP,
Drumheller-Stettler,direct,Drumheller-Stettler,70.0,15.0,UCP,
Fort Saskatchewan-Vegreville,direct,Fort Saskatchewan-Vegreville,46.0,43.0,UCP,
Grande Prairie,direct,Grande Prairie,53.0,34.0,UCP,
Grande Prairie-Wapiti,direct,Grande Prairie-Wapiti,63.0,27.0,UCP,
Lacombe-Clearwater,direct,Lacombe-Ponoka,62.0,26.0,UCP,
Livingstone-Macleod,direct,Livingstone-Macleod,64.0,29.0,UCP,
Lesser Slave Lake,direct,Lesser Slave Lake,52.0,46.0,UCP,
Lloydminster-Wainwright,direct,Vermilion-Lloydminster-Wainwright,67.0,22.0,UCP,
Mountain View-Kneehill,direct,Olds-Didsbury-Three Hills,69.0,20.0,UCP,
Peace River,direct,Peace River,59.0,32.0,UCP,
Red Deer-North,direct,Red Deer-North,56.0,39.0,UCP,
Red Deer-South,direct,Red Deer-South,54.0,36.0,UCP,
Sherwood Park,direct,Sherwood Park,43.0,49.0,NDP,
Spruce Grove,direct,Spruce Grove-Stony Plain,51.0,39.0,UCP,
St. Albert,direct,St. Albert,42.0,54.0,NDP,
Strathcona-Sherwood Park,direct,Strathcona-Sherwood Park,49.0,40.0,UCP,
Sylvan Lake-Innisfail,direct,Innisfail-Sylvan Lake,62.0,26.0,UCP,
Taber-Cardston,direct,Taber-Warner,75.0,21.0,UCP,
West Yellowhead,direct,West Yellowhead,59.0,31.0,UCP,
Wetaskiwin-Ponoka-Maskwacis,direct,Maskwacis-Wetaskiwin,52.0,40.0,UCP,
Airdrie-East,direct,Airdrie-East,59.0,29.0,UCP,
Airdrie-West,blend,Airdrie-Cochrane,57.1,34.531,UCP,
Chestermere-Strathmore,direct,Chestermere-Strathmore,67.0,31.0,UCP,
Cochrane-Springbank,blend,Airdrie-Cochrane,57.1,34.531,UCP,
Cold Lake-Bonnyville-St. Paul,direct,Bonnyville-Cold Lake-St. Paul,63.0,24.0,UCP,
Fort McMurray-Lac La Biche,direct,Fort McMurray-Lac La Biche,58.0,35.0,UCP,
Fort McMurray-Wood Buffalo,direct,Fort McMurray-Wood Buffalo,61.0,29.0,UCP,
High River-Vulcan-Siksika,blend,Highwood,59.9,30.331,UCP,
Leduc-Devon,blend,Leduc-Beaumont,54.3,35.231,UCP,
Lethbridge-East,blend,Lethbridge-East,49.4,43.631,UCP,
Lethbridge-West,blend,Lethbridge-West,46.6,46.431,UCP,
Medicine Hat-Brooks,direct,Brooks-Medicine Hat,53.0,33.0,UCP,
Medicine Hat-Cypress,direct,Cypress-Medicine Hat,59.0,34.0,UCP,
Okotoks-Diamond Valley,blend,Highwood,59.9,30.331,UCP,
St. Albert-Sturgeon,blend,Morinville-St. Albert,49.4,40.831,UCP,
Stony Plain-Drayton Valley,direct,Drayton Valley-Devon,61.0,28.0,UCP,
