ed_2026,ndp,ucp,other,n_vas,map
Spruce Grove,5244.857142857143,8143.785714285715,427.14285714285717,68,majority
St. Albert,7080.0,5661.0,292.0,56,majority
St. Albert-Sturgeon,3292.9666666666667,5797.533333333334,378.1333333333333,41,majority
Stony Plain-Drayton Valley,4548.280952380952,15348.561904761906,1107.547619047619,98,majority
Strathcona-Sherwood Park,5882.0,7909.0,411.0,53,majority
Sylvan Lake-Innisfail,3233.375,13347.0,1717.225,94,majority
Taber-Cardston,1834.642857142857,9555.464285714286,955.0714285714286,74,majority
West Yellowhead,2780.0,8862.0,66.5,69,majority
Wetaskiwin-Ponoka-Maskwacis,2666.9761904761904,7382.8452380952385,669.1309523809524,50,majority
Airdrie East,3652.0095238095237,6658.742857142857,305.4952380952381,59,minority
Barrhead-Westlock-Athabasca,2412.5454545454545,8202.90909090909,0.0,43,minority
Calgary-Acadia,12083.65,14305.6,831.3,113,minority
Calgary-Airdrie,5185.0,9102.0,478.0,82,minority
Calgary-Beddington,4931.0,5109.0,392.0,49,minority
Calgary-Bow-Springbank,6386.238095238095,6357.0,632.9285714285714,73,minority
Calgary-Buffalo,6851.0,4799.0,300.0,77,minority
Calgary-Cross,3778.0,4098.0,298.0,44,minority
Calgary-Currie,6332.6,5567.2,561.2,57,minority
Calgary-De Winton,2224.2272727272725,3168.6363636363635,70.63636363636364,27,minority
Calgary-East,3931.0,4461.0,459.0,70,minority
Calgary-Edgemont,7483.75,6786.5,354.0,77,minority
Calgary-Elbow,6485.393939393939,7481.969696969697,687.969696969697,66,minority
Calgary-Falconridge,4578.857142857143,4283.857142857143,361.57142857142856,56,minority
Calgary-Fish Creek,125.0,106.0,10.0,1,minority
Calgary-Foothills-Airdrie West,4551.990476190476,4865.114285714286,156.93333333333334,51,minority
Calgary-Glenmore,5785.0,6261.0,237.0,49,minority
Calgary-Hays,4324.0,6307.0,286.0,49,minority
Calgary-Klein,9054.333333333334,10688.833333333334,713.8333333333334,87,minority
Calgary-Lougheed,8238.15,11688.766666666666,595.0833333333334,94,minority
Calgary-McCall-Bhullar,1197.25,837.5,0.0,9,minority
Calgary-Mountain View,8004.0,4732.0,315.0,74,minority
Calgary-Nolan Hill-Cochrane,449.82142857142856,569.7857142857143,11.821428571428571,6,minority
Calgary-North,3473.0,3811.0,0.0,37,minority
Calgary-North East,5096.0,4576.0,0.0,59,minority
Calgary-North West-Bearspaw,154.33333333333331,177.33333333333331,19.166666666666664,2,minority
Calgary-Peigan-Chestermere,105.66666666666667,146.16666666666666,5.166666666666667,1,minority
Calgary-South,973.6287878787879,1352.5939393939395,23.893939393939394,11,minority
Calgary-South East,4397.0,7012.0,225.0,56,minority
Calgary-Varsity,6298.0,4732.0,121.0,46,minority
Calgary-West-Tsuut'ina,3344.6,5044.8,128.0,42,minority
Camrose,3226.0,8746.5,1390.5,65,minority
Canmore-Kananaskis,3581.8333333333335,3861.6,237.16666666666666,48,minority
Central Peace-Notley,1287.0,5989.0,277.0,49,minority
Chestermere-Strathmore,2859.0,6837.0,305.0,54,minority
Cold Lake-Bonnyville-St. Paul,2437.4545454545455,8280.09090909091,0.0,62,minority
Drumheller-Stettler,1860.0,11060.0,550.0,63,minority
Edmonton-Beaumont,4954.0,7418.222222222222,391.6666666666667,61,minority
Edmonton-Beverly-Clareview,12434.9,7751.466666666666,876.85,106,minority
Edmonton-Castledowns,1982.7,1803.7583333333334,119.40833333333333,19,minority
Edmonton-City Centre,6359.0,1969.0,265.0,70,minority
Edmonton-Decore,4041.0,3427.0,517.0,49,minority
Edmonton-Ellerslie,5781.0,3956.0,159.0,44,minority
Edmonton-Enoch-Devon,6423.083333333333,7273.611111111111,548.0833333333334,60,minority
Edmonton-Glenora-Riverview,8737.816666666668,5222.216666666667,521.6833333333333,58,minority
Edmonton-Gold Bar,9215.1,5582.8,466.1,68,minority
Edmonton-Highlands-Norwood,5784.333333333333,2838.0,298.8333333333333,55,minority
Edmonton-Manning,5162.0,3938.0,196.0,58,minority
Edmonton-McClung,10492.680952380952,7359.096825396825,469.35238095238094,98,minority
Edmonton-Meadows,6116.0,3970.5,157.0,52,minority
Edmonton-Mill Woods,6116.6,4332.8,7.6,48,minority
Edmonton-North West,5063.0,3565.0,197.0,45,minority
Edmonton-Rutherford,8192.912698412698,5159.260317460317,432.59603174603177,78,minority
Edmonton-South,821.3333333333334,632.9888888888889,26.78333333333333,10,minority
Edmonton-Spruce Grove,4656.0,6752.0,349.0,56,minority
Edmonton-Strathcona,6852.0,1759.0,291.0,45,minority
Edmonton-West Henday,1510.111111111111,1314.111111111111,96.77777777777779,14,minority
Edmonton-Whitemud,5476.0,3804.0,321.0,46,minority
Edmonton-Windermere,462.23809523809524,446.76190476190476,21.19047619047619,7,minority
Fort McMurray-Lac La Biche,1384.0,4803.0,130.0,46,minority
Fort McMurray-Wood Buffalo,1029.0,3679.0,657.0,36,minority
Fort Saskatchewan-Vegreville,4711.0,8585.0,738.0,73,minority
Grande Prairie,2614.0,6485.0,462.0,45,minority
Grande Prairie-Wapiti,2299.0,10015.0,444.0,69,minority
Highwood,4275.555555555556,11360.833333333334,546.6111111111111,92,minority
Lac Ste. Anne-Parkland,3499.0,10335.5,616.0,72,minority
Leduc,356.4,881.5,47.199999999999996,5,minority
Lesser Slave Lake,1658.0,3467.5,76.0,55,minority
Lethbridge-Cardston,844.1474747474748,4084.3848484848486,351.67676767676767,33,minority
Lethbridge-Fort MacLeod-Crowsnest Pass,11629.6,17367.6,1626.5,169,minority
Lethbridge-Little Bow,1556.9004329004329,5421.616883116883,497.7792207792208,44,minority
Lethbridge-Taber-Warner,3909.5132034632034,10166.798268398268,704.7995670995671,66,minority
Lloydminster-Wainwright,1687.0,8314.0,892.0,57,minority
Medicine Hat-Brooks,3032.0,7609.0,704.0,67,minority
Medicine Hat-Cypress,1496.95,1972.7666666666667,106.46666666666667,14,minority
Olds-Three Hills-Didsbury,2305.0,10313.0,887.0,46,minority
Peace River,1531.0,4072.0,276.0,60,minority
Red Deer-Blackfalds,9195.0,14475.0,823.0,107,minority
Red Deer-Innisfail,2146.927777777778,7131.116666666667,386.80555555555554,50,minority
Red Deer-Lacombe,2160.3,7335.3,1052.8,46,minority
Red Deer-Sylvan Lake,513.6972222222222,2211.883333333333,257.06944444444446,14,minority
Rocky Mountain House-Banff Park,1201.9464285714287,6726.714285714285,1722.982142857143,53,minority
Sherwood Park,6403.0,6366.0,897.0,51,minority
Sherwood Park-Strathcona,2444.0,2636.0,142.0,20,minority
St. Albert,7029.0,5530.0,284.0,55,minority
St. Albert-Sturgeon,3316.8,5416.366666666667,351.96666666666664,40,minority
Stony Plain-Drayton Valley,8887.457142857143,14583.07261904762,881.8416666666667,115,minority
West Yellowhead,2525.0,7805.0,0.0,61,minority
Wetaskawin-Ponoka-Maskwacis,2518.6619047619047,7222.952380952381,888.9095238095238,49,minority
